locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_02830,NE,NE,NE,NE,NA,NA,DNA recombination protein RmuC,K09760,DNA recombination protein RmuC,rmuC,S,RmuC family,R7A2020_02830,599147,600418,1272,-1,0.134,0.066,0.051,0.029,0.147,0.057,0.035,0.055
R7A2020_02835,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,peptide deformylase,K01462,peptide deformylase [EC:3.5.1.88],def,J,Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions,R7A2020_02835,600522,601052,531,1,0.007,0.002,0,0,0.007,0.002,0.002,0.002
R7A2020_02840,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,methionyl-tRNA formyltransferase,K00604,methionyl-tRNA formyltransferase [EC:2.1.2.9],fmt,J,Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus,R7A2020_02840,601059,602012,954,1,0.014,0.002,0.001,0.004,0.007,0.002,0,0.002
R7A2020_02845,NE,NE,NE,NE,NA,NA,N-acetyltransferase,K03824,putative acetyltransferase [EC:2.3.1.-],NA,S,Acetyltransferase (GNAT) domain,R7A2020_02845,602009,602515,507,1,0.134,0.076,0.032,0.016,0.146,0.063,0.039,0.025
R7A2020_02850,GD,NE,TY-GD,GR-GD,NA,J,tRNA pseudouridine(38-40) synthase TruA,K06173,tRNA pseudouridine38-40 synthase [EC:5.4.99.12],truA,J,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs",truA,602637,603383,747,1,0.082,0.039,0.02,0.013,0.044,0.019,0.011,0.005
R7A2020_02855,NE,NE,NE,NE,NA,NA,transporter,NA,NA,NA,NA,NA,R7A2020_02855,603404,604054,651,-1,0.168,0.092,0.047,0.031,0.164,0.078,0.049,0.025
R7A2020_02860,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,E,succinyl-diaminopimelate desuccinylase,K01439,succinyl-diaminopimelate desuccinylase [EC:3.5.1.18],dapE,E,"Catalyzes the hydrolysis of N-succinyl-L,L- diaminopimelic acid (SDAP), forming succinate and LL-2,6- diaminoheptanedioate (DAP), an intermediate involved in the bacterial biosynthesis of lysine and meso-diaminopimelic acid, an essential component of bacterial cell walls",dapE,604060,605253,1194,-1,0.001,0,0.001,0,0.004,0.001,0.003,0
R7A2020_02865,NE,NE,NE,NE,NA,NA,2-dehydropantoate 2-reductase,K00077,2-dehydropantoate 2-reductase [EC:1.1.1.169],panE,H,Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid,R7A2020_02865,605379,606440,1062,1,0.187,0.087,0.045,0.041,0.216,0.103,0.056,0.074
R7A2020_02870,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02870,606340,607116,777,-1,0.165,0.069,0.053,0.035,0.18,0.073,0.054,0.044
R7A2020_02875,NE,NE,NE,NE,NA,NA,DUF805 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF805),R7A2020_02875,607130,607507,378,-1,0.186,0.09,0.056,0.056,0.211,0.111,0.046,0.059
R7A2020_02880,NE,NE,NE,NE,NA,NA,DUF805 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF805),R7A2020_02880,607500,607862,363,-1,0.159,0.074,0.061,0.016,0.149,0.078,0.032,0.029
R7A2020_02885,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,E,2,K00674,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]",dapD,E,Belongs to the transferase hexapeptide repeat family,dapD,607935,608789,855,-1,0,0,0,0,0.005,0.001,0,0
R7A2020_02890,NE,NE,NE,NE,NA,NA,LOG family protein,NA,NA,NA,S,Rossmann fold nucleotide-binding protein,R7A2020_02890,609024,609860,837,1,0.107,0.046,0.032,0.02,0.129,0.049,0.036,0.039
R7A2020_02895,NE,NE,NE,NE,NA,NA,pyrimidine 5'-nucleotidase,K07025,putative hydrolase of the HAD superfamily,ssm,S,Hydrolase,R7A2020_02895,609977,610702,726,-1,0.157,0.083,0.042,0.037,0.154,0.07,0.039,0.047
R7A2020_02900,NE,NE,NE,NE,NA,NA,GGDEF domain-containing protein,NA,NA,NA,T,Diguanylate cyclase,R7A2020_02900,610865,611626,762,1,0.181,0.069,0.057,0.049,0.153,0.066,0.032,0.048
R7A2020_02905,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02905,611812,611991,180,1,0.118,0.052,0.026,0.026,0.118,0.052,0.039,0.033
R7A2020_02910,NE,NE,NE,NE,NA,NA,GMC family oxidoreductase,NA,NA,NA,E,GMC oxidoreductase,R7A2020_02910,611988,613427,1440,1,0.176,0.078,0.055,0.045,0.181,0.074,0.063,0.058
R7A2020_02915,NE,NE,NE,NE,NA,NA,FAD-dependent monooxygenase,NA,NA,MA20_36880,CH,FAD binding domain,R7A2020_02915,613470,614681,1212,-1,0.207,0.105,0.055,0.038,0.238,0.106,0.06,0.053
R7A2020_02920,NE,NE,NE,WT-GR-ES,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02920,614684,614851,168,-1,0.16,0.076,0.097,0.007,0.181,0.09,0.049,0.056
R7A2020_02925,NE,NE,NE,NE,NA,NA,MarR family transcriptional regulator,NA,NA,NA,K,helix_turn_helix multiple antibiotic resistance protein,R7A2020_02925,614946,615440,495,1,0.126,0.064,0.036,0.021,0.1,0.043,0.019,0.019
R7A2020_02930,NE,NE,NE,NE,NA,NA,TetR/AcrR family transcriptional regulator,K18301,"TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor",NA,K,transcriptional regulator,R7A2020_02930,615493,616125,633,-1,0.121,0.045,0.039,0.033,0.121,0.054,0.035,0.033
R7A2020_02935,NE,NE,NE,NE,NA,NA,VOC family protein,K07032,uncharacterized protein,NA,S,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_02935,616228,616632,405,1,0.119,0.049,0.038,0.035,0.151,0.078,0.026,0.049
R7A2020_02940,NE,NE,NE,NE,NA,NA,phenylalanine 4-monooxygenase,K00500,phenylalanine-4-hydroxylase [EC:1.14.16.1],phhA,E,Biopterin-dependent aromatic amino acid hydroxylase,phhA,616742,617578,837,-1,0.144,0.063,0.048,0.027,0.173,0.083,0.042,0.042
R7A2020_02945,NE,NE,NE,NE,NA,NA,Lrp/AsnC family transcriptional regulator,K03719,"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",NA,K,helix_turn_helix ASNC type,R7A2020_02945,617714,618190,477,1,0.17,0.064,0.052,0.052,0.165,0.079,0.052,0.066
R7A2020_02950,NE,NE,NE,NE,NA,NA,magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase,K04034,anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3],bchE,C,TIGRFAM magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase,bchE,618307,619842,1536,1,0.173,0.079,0.06,0.041,0.174,0.08,0.055,0.051
R7A2020_02955,NE,NE,NE,NE,NA,NA,RidA family protein,K09022,2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10],yjgH,J,"translation initiation inhibitor, yjgF family",R7A2020_02955,620017,620415,399,1,0.182,0.1,0.07,0.047,0.226,0.1,0.067,0.076
R7A2020_02960,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,E,acetylglutamate kinase,K00930,acetylglutamate kinase [EC:2.7.2.8],argB,E,Belongs to the acetylglutamate kinase family. ArgB subfamily,argB,620447,621340,894,-1,0.013,0.007,0.004,0.003,0.013,0.005,0.003,0.004
R7A2020_02965,NE,NE,NE,NE,NA,NA,amidase,K01426,amidase [EC:3.5.1.4],NA,J,Belongs to the amidase family,R7A2020_02965,621503,622999,1497,-1,0.173,0.074,0.06,0.04,0.184,0.084,0.051,0.05
R7A2020_02970,NE,NE,NE,NE,NA,NA,sigma-70 family RNA polymerase sigma factor,K03088,"RNA polymerase sigma-70 factor, ECF subfamily",sigK,K,Belongs to the sigma-70 factor family. ECF subfamily,R7A2020_02970,623138,623677,540,1,0.17,0.078,0.05,0.05,0.168,0.074,0.068,0.05
R7A2020_02975,NE,NE,NE,NE,NA,NA,anti-sigma factor,NA,NA,rskA,S,Anti-sigma K factor RskA,R7A2020_02975,623662,624396,735,1,0.15,0.065,0.045,0.035,0.16,0.07,0.053,0.035
R7A2020_02980,NE,NE,NE,NE,NA,NA,fasciclin domain-containing protein,NA,NA,NA,M,COG2335 Secreted and surface protein containing fasciclin-like repeats,R7A2020_02980,624612,625169,558,1,0.183,0.08,0.061,0.042,0.21,0.069,0.042,0.065
R7A2020_02985,NE,NE,NE,NE,NA,NA,peptide-methionine (R)-S-oxide reductase MsrB,K07305,peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],NA,O,methionine sulfoxide reductase,msrB,625379,625882,504,1,0.161,0.084,0.054,0.033,0.161,0.072,0.054,0.033
R7A2020_02990,NE,NE,NE,NE,NA,NA,DHA2 family efflux MFS transporter permease subunit,K03446,"MFS transporter, DHA2 family, multidrug resistance protein",vceB,EGP,"TIGRFAM drug resistance transporter, EmrB QacA subfamily",R7A2020_02990,626005,627600,1596,-1,0.15,0.069,0.052,0.038,0.163,0.065,0.041,0.063
R7A2020_02995,NE,NE,NE,NE,NA,NA,HlyD family secretion protein,K03543,"membrane fusion protein, multidrug efflux system",vceA,V,PFAM HlyD family secretion protein,R7A2020_02995,627673,628860,1188,-1,0.227,0.109,0.078,0.07,0.244,0.123,0.066,0.09
R7A2020_03000,NE,NE,NE,NE,NA,NA,TetR/AcrR family transcriptional regulator,K18301,"TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor",NA,K,"AefR-like transcriptional repressor, C-terminal region",R7A2020_03000,628989,629723,735,1,0.093,0.021,0.042,0.027,0.093,0.037,0.029,0.024
R7A2020_03005,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,D,YihA family ribosome biogenesis GTP-binding protein,K03978,GTP-binding protein,engB,D,Necessary for normal cell division and for the maintenance of normal septation,R7A2020_03005,629720,630379,660,-1,0.007,0.004,0,0.002,0.007,0.004,0,0
R7A2020_03010,NE,NE,NE,NE,NA,NA,CatB-related O-acetyltransferase,K18234,virginiamycin A acetyltransferase [EC:2.3.1.-],vatD,S,Acetyltransferase (Isoleucine patch superfamily),R7A2020_03010,630376,631014,639,-1,0.2,0.092,0.068,0.042,0.176,0.072,0.053,0.053
R7A2020_03015,NE,NE,NE,NE,NA,NA,fasciclin domain-containing protein,NA,NA,NA,M,COG2335 Secreted and surface protein containing fasciclin-like repeats,R7A2020_03015,631482,632042,561,-1,0.241,0.124,0.063,0.046,0.268,0.145,0.078,0.065
R7A2020_03020,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,U,membrane protein insertase YidC,K03217,YidC/Oxa1 family membrane protein insertase,yidC,U,"Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins",yidC,632207,634018,1812,-1,0.001,0.001,0,0,0.001,0,0.001,0
R7A2020_03025,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,ribonuclease P protein component,K03536,ribonuclease P protein component [EC:3.1.26.5],rnpA,J,RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme,R7A2020_03025,634033,634386,354,-1,0.007,0,0,0.003,0.003,0.003,0,0
R7A2020_03030,GD,NE,NE,GR-ES,NA,J,50S ribosomal protein L34,K02914,large subunit ribosomal protein L34,rpmH,J,Ribosomal protein L34,rpmH,634401,634535,135,-1,0.095,0.034,0.026,0.009,0.043,0.017,0.017,0
R7A2020_03035,NE,NE,NE,NE,NA,NA,HAMP domain-containing histidine kinase,NA,NA,regM,T,Histidine kinase,R7A2020_03035,634816,636303,1488,1,0.202,0.081,0.078,0.038,0.182,0.086,0.06,0.059
R7A2020_03040,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_03040,636580,636656,77,1,0,0,0,0,0,0,0,0
R7A2020_03045,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_03045,636909,637313,405,1,0.096,0.038,0.052,0.032,0.11,0.026,0.049,0.041
R7A2020_03050,NE,NE,WT-TY-ES,NE,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_03050,637401,637703,303,1,0.112,0.031,0.012,0.027,0.124,0.05,0.047,0.039
R7A2020_03055,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_03055,639449,640324,876,-1,0.2,0.076,0.072,0.044,0.165,0.076,0.062,0.042
R7A2020_03060,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_03060,640683,640817,135,1,0.147,0.043,0.078,0.052,0.19,0.095,0.052,0.052
R7A2020_03065,NE,NE,NE,NE,NA,NA,MBL fold metallo-hydrolase,K05555,cyclase [EC:4.-.-.-],NA,S,Metallo-beta-lactamase superfamily,R7A2020_03065,641024,641992,969,1,0.115,0.045,0.039,0.03,0.139,0.041,0.053,0.053
R7A2020_03070,NE,NE,NE,NE,NA,NA,SDR family oxidoreductase,NA,NA,NA,IQ,Short-chain dehydrogenase reductase sdr,R7A2020_03070,641995,642744,750,1,0.108,0.039,0.044,0.034,0.111,0.024,0.041,0.058
R7A2020_03075,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_03075,642822,643230,409,1,0.155,0.057,0.077,0.032,0.106,0.032,0.037,0.046
R7A2020_03080,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_03080,643654,643848,195,-1,0.108,0.036,0.03,0.048,0.114,0.03,0.03,0.06
R7A2020_03085,NE,NE,NE,NE,NA,NA,GNAT family N-acetyltransferase,K19113,acetyltransferase [EC:2.3.1.-],ttr,K,Acetyltransferase (GNAT) domain,R7A2020_03085,644011,644535,525,-1,0.166,0.076,0.065,0.031,0.15,0.054,0.056,0.047
R7A2020_03090,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_03090,644606,644836,231,1,0.213,0.081,0.086,0.056,0.173,0.091,0.061,0.051
R7A2020_03095,NE,NE,NE,NE,NA,NA,lysozyme inhibitor LprI family protein,NA,NA,NA,S,Lysozyme inhibitor LprI,R7A2020_03095,644980,645372,393,1,0.158,0.075,0.048,0.045,0.14,0.054,0.045,0.057
R7A2020_03100,NE,NE,NE,NE,NA,NA,glycosyltransferase family 2 protein,NA,NA,NA,S,Glycosyl transferase family 2,R7A2020_03100,645692,646579,888,1,0.114,0.037,0.049,0.024,0.122,0.032,0.049,0.041
R7A2020_03105,NE,NE,NE,NE,NA,NA,rhamnan synthesis F,NA,NA,NA,M,COG3754 Lipopolysaccharide biosynthesis protein,R7A2020_03105,646569,647888,1320,1,0.171,0.073,0.06,0.041,0.177,0.073,0.048,0.063
R7A2020_03110,NE,NE,NE,NE,NA,NA,glycosyltransferase,NA,NA,NA,M,Glycosyltransferase WbsX,R7A2020_03110,648115,650538,2424,1,0.128,0.05,0.042,0.031,0.138,0.049,0.049,0.035
R7A2020_03115,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_03115,650796,651089,294,-1,0.167,0.116,0.048,0.048,0.195,0.112,0.064,0.044
R7A2020_03120,NE,NE,NE,NE,NA,NA,homoprotocatechuate degradation operon regulator HpaR,NA,NA,hpaR,K,"homoprotocatechuate degradation operon regulator, HpaR",hpaR,651135,651563,429,-1,0.194,0.087,0.066,0.046,0.227,0.112,0.071,0.046
R7A2020_03125,NE,NE,NE,NE,NA,NA,MetQ/NlpA family lipoprotein,K02073,D-methionine transport system substrate-binding protein,metQ,P,Belongs to the nlpA lipoprotein family,R7A2020_03125,651887,652741,855,1,0.143,0.069,0.044,0.037,0.139,0.052,0.044,0.045
R7A2020_03130,NE,NE,NE,NE,NA,NA,methionine ABC transporter ATP-binding protein,K02071,D-methionine transport system ATP-binding protein,metN,P,Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system,R7A2020_03130,652835,653932,1098,1,0.176,0.088,0.053,0.04,0.17,0.066,0.05,0.059
R7A2020_03135,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02072,D-methionine transport system permease protein,metI,P,ABC-type metal ion transport system permease component,R7A2020_03135,653913,654569,657,1,0.164,0.08,0.036,0.039,0.134,0.055,0.041,0.038
R7A2020_03140,NE,NE,NE,NE,NA,NA,aminomethyl transferase family protein,K00605,aminomethyltransferase [EC:2.1.2.10],NA,E,Belongs to the GcvT family,R7A2020_03140,654723,655853,1131,-1,0.199,0.093,0.068,0.043,0.192,0.078,0.052,0.059
R7A2020_03145,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K02030,polar amino acid transport system substrate-binding protein,NA,ET,Belongs to the bacterial solute-binding protein 3 family,R7A2020_03145,655908,656681,774,-1,0.165,0.076,0.047,0.046,0.152,0.077,0.029,0.058
R7A2020_03150,NE,NE,NE,NE,NA,NA,methylhydantoinase,K01474,N-methylhydantoinase B [EC:3.5.2.14],NA,EQ,N-methylhydantoinase B acetone carboxylase alpha subunit,R7A2020_03150,656805,658547,1743,-1,0.152,0.069,0.046,0.037,0.163,0.069,0.037,0.051
R7A2020_03155,NE,NE,NE,NE,NA,NA,hydantoinase/oxoprolinase family protein,K01473,N-methylhydantoinase A [EC:3.5.2.14],oplaH,EQ,"N-methylhydantoinase A acetone carboxylase, beta subunit",R7A2020_03155,658564,660648,2085,-1,0.164,0.076,0.054,0.036,0.183,0.082,0.046,0.06
R7A2020_03160,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,C,ferredoxin--NADP reductase,K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],fpr,C,Oxidoreductase FAD-binding domain,R7A2020_03160,660869,661696,828,1,0.01,0.006,0.003,0,0.017,0.011,0,0
R7A2020_03165,NE,NE,NE,NE,NA,NA,deoxyribose-phosphate aldolase,K01619,deoxyribose-phosphate aldolase [EC:4.1.2.4],deoC,F,Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate,deoC,661877,662923,1047,1,0.168,0.077,0.053,0.04,0.22,0.103,0.056,0.057
R7A2020_03170,NE,NE,NE,NE,NA,NA,aldehyde dehydrogenase family protein,K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],aldA,C,belongs to the aldehyde dehydrogenase family,R7A2020_03170,663000,665372,2373,1,0.179,0.085,0.056,0.036,0.195,0.092,0.055,0.064
R7A2020_03175,NE,NE,NE,NE,NA,NA,SDR family oxidoreductase,K18335,2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-],NA,IQ,with different specificities (related to short-chain alcohol,R7A2020_03175,665562,666293,732,1,0.186,0.08,0.05,0.05,0.241,0.109,0.066,0.074
R7A2020_03180,NE,NE,NE,NE,NA,NA,fumarylacetoacetate hydrolase family protein,K18336,"2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]",hpcE,Q,"2-keto-4-pentenoate hydratase 2-oxohepta-3-ene-1,7-dioic acid hydratase",R7A2020_03180,666486,667331,846,1,0.183,0.099,0.063,0.033,0.167,0.081,0.042,0.043
R7A2020_03185,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,NA,NA,smoK,P,Belongs to the ABC transporter superfamily,R7A2020_03185,667552,668550,999,-1,0.206,0.098,0.052,0.051,0.2,0.093,0.072,0.063
R7A2020_03190,NE,NE,NE,NE,NA,NA,Gfo/Idh/MocA family oxidoreductase,NA,NA,NA,S,Oxidoreductase,R7A2020_03190,668567,669622,1056,-1,0.171,0.089,0.071,0.034,0.199,0.105,0.058,0.051
R7A2020_03195,NE,NE,NE,NE,NA,NA,DUF4304 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4304),R7A2020_03195,669624,670091,468,-1,0.13,0.055,0.048,0.03,0.113,0.028,0.03,0.048
R7A2020_03200,NE,NE,NE,NE,NA,NA,carbohydrate ABC transporter permease,K10119,raffinose/stachyose/melibiose transport system permease protein,NA,G,"ABC-type sugar transport system, permease component",R7A2020_03200,670088,670927,840,-1,0.162,0.08,0.053,0.025,0.164,0.06,0.053,0.053
R7A2020_03205,NE,NE,NE,NE,NA,NA,sugar ABC transporter permease,NA,NA,NA,G,PFAM Binding-protein-dependent transport system inner membrane component,R7A2020_03205,670938,671867,930,-1,0.154,0.07,0.061,0.038,0.167,0.071,0.063,0.051
R7A2020_03210,NE,NE,NE,NE,NA,NA,carbohydrate ABC transporter substrate-binding protein,K10117,raffinose/stachyose/melibiose transport system substrate-binding protein,NA,G,ABC-type sugar transport system periplasmic component,R7A2020_03210,672121,673380,1260,-1,0.166,0.078,0.052,0.044,0.189,0.086,0.048,0.049
R7A2020_03215,NE,NE,NE,NE,NA,NA,N-acetylmuramic acid 6-phosphate etherase,K07106,N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126],murQ,M,sugar phosphate isomerase,R7A2020_03215,673383,674342,960,-1,0.147,0.059,0.058,0.037,0.141,0.06,0.037,0.048
R7A2020_03220,NE,NE,NE,NE,NA,NA,N-acetylglucosamine kinase,K18676,glucosamine kinase [EC:2.7.1.8],murQ,G,BadF/BadG/BcrA/BcrD ATPase family,R7A2020_03220,674541,675422,882,1,0.135,0.048,0.051,0.041,0.14,0.049,0.04,0.053
R7A2020_03225,NE,NE,NE,NE,NA,NA,GntR family transcriptional regulator,K03710,GntR family transcriptional regulator,NA,K,UTRA,R7A2020_03225,675419,676201,783,1,0.192,0.077,0.053,0.059,0.174,0.077,0.048,0.066
R7A2020_03230,NE,TB-ES,NE,NE,NA,M,SIS domain-containing protein,K00820,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],glmS1,M,SIS domain,R7A2020_03230,676198,677232,1035,1,0.064,0.006,0.024,0.037,0.086,0.011,0.024,0.054
R7A2020_03235,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,G,N-acetylglucosamine-6-phosphate deacetylase,K01443,N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25],nagA,G,Belongs to the metallo-dependent hydrolases superfamily. NagA family,nagA,677229,678401,1173,1,0.046,0.011,0.03,0,0.044,0.008,0.033,0
R7A2020_03240,NE,NE,NE,NE,NA,NA,NAD(P)/FAD-dependent oxidoreductase,K00109,2-hydroxyglutarate dehydrogenase [EC:1.1.99.2],NA,S,FAD dependent oxidoreductase,R7A2020_03240,678412,679524,1113,1,0.17,0.076,0.062,0.039,0.192,0.093,0.054,0.056
R7A2020_03245,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein/permease,K02471,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,MA20_43525,S,"transport system, permease and ATPase",R7A2020_03245,679600,681648,2049,1,0.193,0.099,0.053,0.042,0.21,0.111,0.056,0.056
R7A2020_03250,NE,NE,NE,NE,NA,NA,malonyl-CoA synthase,K18661,malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-],matB,IQ,AMP-binding enzyme C-terminal domain,R7A2020_03250,681789,683303,1515,-1,0.209,0.104,0.068,0.039,0.213,0.105,0.062,0.054
R7A2020_03255,NE,NE,NE,NE,NA,NA,GntR family transcriptional regulator,K15735,"GntR family transcriptional regulator, carbon starvation induced regulator",NA,K,FCD,R7A2020_03255,683481,684224,744,-1,0.134,0.052,0.039,0.028,0.13,0.057,0.036,0.044
R7A2020_03260,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,G,ribulose-phosphate 3-epimerase,K01783,ribulose-phosphate 3-epimerase [EC:5.1.3.1],rpe,G,Belongs to the ribulose-phosphate 3-epimerase family,R7A2020_03260,684548,685225,678,-1,0.009,0.002,0.002,0.005,0.019,0,0.01,0.009
